strip,pixel,x,y
0,1,460,423
0,2,551,265
0,3,727,181
0,4,860,103
0,5,981,71
0,6,1121,149
0,7,1240,244
0,8,1346,380
0,9,1264,528
0,10,1195,751
0,11,1073,862
0,12,825,871
0,13,691,771
0,14,532,653
0,15,451,497
0,16,594,387
0,17,632,225
0,18,843,180
0,19,1004,132
0,20,1166,193
0,21,1250,317
0,22,1264,485
0,23,1078,601
0,24,998,790
0,25,736,752
0,26,636,604
0,27,505,464
0,28,683,322
0,29,754,253
0,30,919,207
0,31,1076,228
0,32,1137,334
0,33,1197,453
0,34,1046,559
0,35,854,681
0,36,729,541
0,37,579,531
0,38,681,396
0,39,782,231
0,40,959,256
0,41,1084,377
0,42,1122,544
0,43,937,563
0,44,795,486
0,45,729,359
0,46,888,252
0,47,1057,342
0,48,950,449
0,49,779,352
