strip,pixel,x,y
4,2,601,388
4,3,564,409
4,4,528,385
4,5,492,407
4,6,456,384
4,7,420,407
4,8,383,386
4,9,348,409
4,10,311,388
4,11,313,433
4,12,349,454
4,13,384,430
4,14,420,451
4,15,456,429
4,16,492,451
4,17,521,434
4,18,563,453
4,19,599,432
4,20,634,456
4,21,597,476
4,22,562,496
4,23,526,473
4,24,491,495
4,25,456,473
4,26,421,496
4,27,385,474
4,28,351,498
4,29,315,477
4,30,317,522
4,31,352,542
4,32,386,519
4,33,422,540
4,34,456,517
4,35,490,540
4,36,525,517
4,37,559,541
4,38,595,520
4,39,631,500
4,40,628,543
4,41,593,563
4,42,558,585
4,43,525,562
4,44,490,584
4,45,456,562
4,46,422,585
4,47,387,563
4,48,354,587
4,49,319,567
4,50,321,611
4,51,356,632
4,52,389,608
4,53,422,629
4,54,456,606
4,55,489,629
4,56,523,607
4,57,556,629
4,58,591,608
4,59,626,587
4,60,623,631
4,61,588,652
4,62,554,673
4,63,522,650
4,64,488,673
4,65,455,650
4,66,422,674
4,67,389,652
4,68,357,676
4,69,324,656
4,70,325,700
4,71,358,721
4,72,390,697
4,73,423,719
4,74,455,695
4,75,487,718
4,76,520,696
4,77,551,719
4,78,586,697
4,79,620,676
4,80,617,720
4,81,583,742
4,82,550,763
4,83,519,740
4,84,486,763
4,85,455,740
4,86,422,764
4,87,391,742
4,88,359,766
4,89,327,745
4,90,329,791
4,91,360,812
4,92,390,788
4,93,423,810
4,94,454,785
4,95,485,809
4,96,517,785
4,97,547,809
4,98,580,787
4,99,613,766
4,100,610,811
4,101,1043,395
4,102,1007,414
4,103,973,391
4,104,937,412
4,105,903,390
4,106,868,411
4,107,833,390
4,108,799,412
4,109,762,391
4,110,728,414
4,111,729,458
4,112,764,435
4,113,799,455
4,114,833,433
4,115,868,454
4,116,903,433
4,117,936,454
4,118,972,435
4,119,1005,457
4,120,1040,438
4,121,1038,481
4,122,1003,500
4,123,971,477
4,124,936,498
4,125,902,476
4,126,868,498
4,127,834,476
4,128,800,499
4,129,765,478
4,130,732,501
4,131,735,545
4,132,767,521
4,133,801,542
4,134,835,520
4,135,868,541
4,136,902,519
4,137,935,541
4,138,969,520
4,139,1002,543
4,140,1036,523
4,141,1034,566
4,142,1000,587
4,143,968,564
4,144,934,585
4,145,902,563
4,146,869,584
4,147,835,563
4,148,803,586
4,149,769,565
4,150,737,587
4,151,739,631
4,152,771,607
4,153,805,628
4,154,837,606
4,155,870,627
4,156,883,618
4,157,934,628
4,158,967,607
4,159,998,630
4,160,1031,610
4,161,1030,653
4,162,997,673
4,163,965,650
4,164,933,671
4,165,902,649
4,166,870,671
4,167,837,649
4,168,806,672
4,169,772,651
4,170,741,675
4,171,742,720
4,172,774,696
4,173,806,718
4,174,838,694
4,175,870,715
4,176,901,692
4,177,933,715
4,178,953,702
4,179,996,717
4,180,1028,696
4,181,1026,741
4,182,994,762
4,183,964,738
4,184,932,759
4,185,901,738
4,186,869,760
4,187,838,738
4,188,807,761
4,189,775,740
4,190,745,764
4,191,746,809
4,192,777,785
4,193,809,806
4,194,839,782
4,195,870,804
4,196,901,782
4,197,932,805
4,198,963,783
4,199,993,806
4,200,1024,785
4,201,1451,420
4,202,1414,397
4,203,1377,417
4,204,1341,394
4,205,1304,415
4,206,1268,393
4,207,1232,415
4,208,1195,394
4,209,1160,417
4,210,1124,398
4,211,1126,440
4,212,1162,460
4,213,1197,437
4,214,1233,458
4,215,1268,436
4,216,1304,458
4,217,1340,437
4,218,1376,461
4,219,1413,440
4,220,1448,464
4,221,1446,508
4,222,1446,509
4,223,1375,504
4,224,1339,481
4,225,1303,503
4,226,1268,480
4,227,1233,502
4,228,1198,481
4,229,1164,503
4,230,1129,483
4,231,1131,526
4,232,1166,547
4,233,1199,524
4,234,1234,546
4,235,1268,524
4,236,1304,546
4,237,1339,525
4,238,1374,549
4,239,1409,529
4,240,1444,553
4,241,1443,597
4,242,1408,572
4,243,1408,572
4,244,1338,570
4,245,1303,591
4,246,1269,568
4,247,1236,590
4,248,1201,568
4,249,1168,591
4,250,1133,570
4,251,1135,614
4,252,1169,635
4,253,1202,613
4,254,1236,635
4,255,1270,612
4,256,1304,636
4,257,1339,614
4,258,1372,639
4,259,1406,617
4,260,1440,642
4,261,1438,687
4,262,1405,662
4,263,1370,682
4,264,1337,659
4,265,1303,680
4,266,1270,656
4,267,1236,679
4,268,1203,657
4,269,1171,678
4,270,1137,657
4,271,1140,702
4,272,1173,723
4,273,1204,701
4,274,1238,723
4,275,1270,701
4,276,1303,724
4,277,1337,703
4,278,1369,728
4,279,1403,707
4,280,1435,732
4,281,1434,778
4,282,1402,753
4,283,1369,774
4,284,1336,748
4,285,1303,770
4,286,1271,746
4,287,1271,747
4,288,1206,746
4,289,1175,769
4,290,1142,747
4,291,1144,792
4,292,1177,814
4,293,1208,791
4,294,1240,814
4,295,1271,792
4,296,1304,816
4,297,1336,794
4,298,1367,819
4,299,1400,799
