strip,pixel,x,y
0,3,382,885
0,4,382,884
0,5,313,916
0,6,232,888
0,7,249,878
0,8,277,874
0,9,300,877
0,10,316,878
0,11,338,880
0,12,359,877
0,13,378,881
0,14,403,883
0,15,427,892
0,16,444,889
0,17,459,887
0,18,475,887
0,19,491,889
0,20,534,888
0,21,547,890
0,22,587,896
0,23,592,898
0,24,632,908
0,25,647,914
0,26,672,916
0,27,692,924
0,28,713,930
0,29,727,942
0,30,760,960
0,31,778,973
0,32,797,986
0,33,811,994
0,34,830,1008
0,35,849,1027
0,36,865,1033
0,37,880,1028
0,38,854,990
0,39,850,985
0,40,839,965
0,41,827,951
0,42,812,944
0,43,799,934
0,44,787,925
0,45,750,908
0,46,736,903
0,47,708,887
0,48,687,884
0,49,668,878
0,50,638,867
0,51,622,862
0,52,609,862
0,53,594,861
0,54,563,855
0,55,534,853
0,56,516,851
0,57,500,848
0,58,472,843
0,59,451,837
0,60,422,837
0,61,406,833
0,62,384,833
0,63,365,832
0,64,343,830
0,65,341,830
0,66,324,831
0,67,284,835
0,68,295,805
0,69,307,784
0,70,337,792
0,71,347,793
0,72,364,793
0,73,394,794
0,74,402,779
0,75,436,797
0,76,454,797
0,77,483,798
0,78,503,801
0,79,521,804
0,80,549,812
0,81,571,814
0,82,596,815
0,83,605,814
0,84,639,821
0,85,647,821
0,86,675,827
0,87,695,833
0,88,724,844
0,89,728,845
0,90,739,848
0,91,768,861
0,92,783,868
0,93,799,877
0,94,835,898
0,95,841,914
0,96,851,926
0,97,860,880
0,98,854,887
0,99,844,867
0,100,839,859
0,101,810,847
0,102,798,837
0,103,778,821
0,104,762,816
0,105,748,809
0,106,734,807
0,107,704,792
0,108,688,788
0,109,663,780
0,110,646,784
0,111,624,778
0,112,603,776
0,113,583,769
0,114,557,771
0,115,540,768
0,116,537,768
0,117,500,762
0,118,485,761
0,119,456,760
0,120,434,758
0,121,419,756
0,122,404,756
0,123,377,756
0,124,355,755
0,125,370,715
0,126,390,717
0,127,404,716
0,128,425,716
0,129,447,719
0,130,469,720
0,131,490,723
0,132,506,726
0,133,531,730
0,134,547,730
0,135,570,728
0,136,586,730
0,137,600,731
0,138,613,732
0,139,651,740
0,140,664,744
0,141,678,747
0,142,694,750
0,143,727,759
0,144,747,764
0,145,757,767
0,146,775,777
0,147,798,789
0,148,820,804
0,149,834,815
0,150,844,823
0,151,855,841
0,152,860,812
0,153,858,802
0,154,848,782
0,155,830,767
0,156,812,755
0,157,801,748
0,158,778,733
0,159,763,729
0,160,744,724
0,161,724,715
0,162,719,714
0,163,684,702
0,164,675,701
0,165,647,696
0,166,641,696
0,167,605,692
0,168,591,692
0,169,565,693
0,170,544,691
0,171,528,689
0,172,514,685
0,173,483,681
0,174,462,679
0,175,446,677
0,176,431,677
0,177,409,681
0,178,383,679
0,179,401,650
0,180,426,642
0,181,443,641
0,182,458,641
0,183,472,643
0,184,501,644
0,185,505,644
