strip,pixel,x,y
20,4,426,738
20,5,466,752
20,6,488,709
20,7,524,719
20,8,547,681
20,9,581,692
20,10,606,661
20,11,642,674
20,12,664,645
20,13,700,661
20,14,724,632
20,15,758,648
20,16,781,620
20,17,814,639
20,18,838,612
20,19,870,633
20,20,895,607
20,21,926,631
20,22,951,607
20,23,949,563
20,24,922,585
20,25,892,563
20,26,865,588
20,27,833,568
20,28,808,594
20,29,773,576
20,30,750,604
20,31,714,587
20,32,691,620
20,33,653,600
20,34,630,634
20,35,592,619
20,36,570,653
20,37,531,643
20,38,511,677
20,39,474,672
20,40,453,707
20,41,411,705
20,42,390,743
20,43,350,735
20,44,332,772
20,45,309,730
20,46,328,694
20,47,367,696
20,48,388,659
20,49,432,665
20,50,452,629
20,51,493,635
20,52,514,598
20,53,554,607
20,54,578,577
20,55,617,590
20,56,642,556
20,57,678,570
20,58,704,540
20,59,739,559
20,60,765,530
20,61,799,548
20,62,827,522
20,63,860,543
20,64,887,518
20,65,918,540
20,66,946,518
20,67,944,477
20,68,916,495
20,69,883,477
20,70,855,499
20,71,821,481
20,72,793,503
20,73,758,486
20,74,730,513
20,75,694,497
20,76,667,525
20,77,630,514
20,78,603,544
20,79,564,538
20,80,538,565
20,81,500,562
20,82,475,591
20,83,435,588
20,84,411,620
20,85,369,620
20,86,346,655
20,87,304,652
20,88,286,690
20,89,255,643
20,90,298,622
20,91,345,584
20,92,392,580
20,93,417,558
20,94,457,552
20,95,486,530
20,96,525,529
20,97,557,510
20,98,590,507
20,99,627,487
20,100,657,487
20,101,1007,610
20,102,1034,637
20,103,1061,616
20,104,1088,643
20,105,1116,624
20,106,1143,653
20,107,1171,635
20,108,1198,664
20,109,1227,649
20,110,1252,680
20,111,1281,666
20,112,1304,699
20,113,1336,686
20,114,1358,719
20,115,1389,708
20,116,1410,744
20,117,1443,735
20,118,1462,772
20,119,1494,764
20,120,1513,802
20,121,1544,796
20,122,1561,836
20,124,1606,869
20,125,1627,829
20,126,1613,789
20,127,1579,792
20,128,1562,755
20,129,1528,759
20,130,1511,722
20,131,1477,727
20,132,1458,691
20,133,1425,700
20,134,1402,665
20,135,1370,675
20,136,1349,642
20,137,1315,653
20,138,1293,621
20,139,1259,637
20,140,1235,603
20,141,1203,620
20,142,1178,590
20,143,1148,607
20,144,1121,579
20,146,1064,571
20,151,1066,529
20,152,1093,553
20,154,1152,562
20,155,1185,546
20,157,1243,560
20,158,1268,589
20,159,1301,576
20,160,1325,610
20,163,1416,622
20,164,1438,657
20,165,1473,650
20,166,1496,690
20,167,1530,683
20,168,1547,717
20,169,1581,713
20,170,1598,750
20,171,1632,749
20,172,1646,788
20,173,1666,750
20,174,1632,706
20,177,1509,644
20,179,1454,616
20,180,1428,580
20,181,1394,588
20,182,1370,557
20,184,1310,535
20,185,1276,547
20,186,1250,518
20,187,1217,530
20,188,1189,503
20,190,1129,492
20,193,1037,503
20,194,1007,479
20,195,1038,460
20,196,1081,457
20,197,1132,467
20,198,1175,476
20,199,1223,488
20,200,1271,501
20,201,1325,338
20,205,1228,338
20,206,1206,355
20,207,1179,337
20,210,1104,344
20,211,1081,320
20,212,1054,334
20,213,1031,313
20,214,1005,324
20,215,983,300
20,216,974,335
20,219,1024,347
20,220,1047,372
20,221,1076,357
20,222,1101,383
20,223,1128,367
20,224,1154,390
20,225,1181,373
20,226,1208,394
20,227,1233,376
20,228,1262,397
20,229,1284,377
20,230,1315,397
20,231,1334,376
20,234,1324,438
20,235,1292,418
20,236,1301,460
20,237,1268,438
20,239,1241,457
20,240,1211,435
20,241,1182,414
20,242,1154,430
20,244,1097,422
20,245,1072,397
20,246,1040,411
20,247,1018,386
20,248,1016,366
20,249,945,411
20,250,909,354
20,251,922,319
20,252,936,282
20,253,907,294
20,254,889,266
20,255,859,277
20,256,842,245
20,257,816,256
20,258,798,223
20,259,772,232
20,260,756,198
20,261,728,205
20,262,716,174
20,263,688,180
20,264,680,147
20,265,650,151
20,266,645,120
20,267,614,121
20,268,612,92
20,269,581,116
20,270,614,146
20,271,652,175
20,273,701,231
20,274,738,230
20,275,745,257
20,276,783,254
20,278,828,277
20,279,843,307
20,280,874,300
20,281,892,326
20,282,856,334
20,283,853,368
20,284,911,394
20,285,943,423
20,286,975,357
20,287,916,340
20,288,961,285
20,289,882,282
20,290,875,220
20,291,836,207
20,292,832,170
20,293,792,172
20,294,821,202
20,295,865,218
20,296,893,213
20,297,870,278
20,298,842,213
20,299,821,176
