strip,pixel,x,y
0,3,381,888
0,4,325,909
0,5,313,917
0,6,231,888
0,7,259,877
0,8,276,875
0,9,298,878
0,10,322,879
0,11,338,881
0,12,354,880
0,13,376,883
0,14,396,884
0,15,425,894
0,16,441,891
0,17,461,891
0,18,478,891
0,19,496,892
0,20,534,890
0,21,558,896
0,22,561,896
0,23,606,906
0,24,623,907
0,25,649,916
0,26,674,918
0,27,689,925
0,28,713,932
0,29,733,952
0,30,759,963
0,31,777,974
0,32,797,989
0,33,814,998
0,34,838,1012
0,35,848,1026
0,36,858,1030
0,37,870,1030
0,38,853,990
0,39,849,987
0,40,844,975
0,41,826,952
0,42,814,946
0,43,787,929
0,44,768,923
0,45,749,910
0,46,732,905
0,47,708,891
0,48,687,887
0,49,665,879
0,50,639,869
0,51,622,863
0,52,611,863
0,53,583,861
0,54,563,855
0,55,535,852
0,56,518,851
0,57,495,850
0,58,471,843
0,59,465,842
0,60,422,838
0,61,411,835
0,62,395,835
0,63,377,834
0,64,345,835
0,65,336,832
0,66,317,834
0,67,295,836
0,68,297,798
0,69,313,791
0,70,341,794
0,71,357,796
0,72,378,794
0,73,392,796
0,74,405,796
0,75,437,799
0,76,459,799
0,77,484,799
0,78,497,801
0,79,522,804
0,80,549,811
0,81,568,815
0,82,598,815
0,83,606,815
0,84,633,819
0,85,646,821
0,86,675,828
0,87,684,830
0,88,724,845
0,89,730,847
0,90,756,861
0,91,763,861
0,92,794,874
0,93,803,881
0,94,836,900
0,95,839,910
0,96,858,936
0,97,862,904
0,98,854,887
0,99,847,872
0,100,836,856
0,101,816,850
0,102,798,837
0,103,777,820
0,104,759,816
0,105,747,809
0,106,724,804
0,107,704,792
0,108,702,791
0,109,669,783
0,110,645,785
0,111,638,783
0,112,599,776
0,113,590,773
0,114,556,772
0,115,539,769
0,116,520,770
0,117,498,762
0,118,481,762
0,119,469,761
0,120,433,759
0,121,412,755
0,122,396,757
0,123,377,757
0,124,355,756
0,125,370,716
0,126,391,717
0,127,409,717
0,128,425,717
0,129,447,722
0,130,470,721
0,131,490,724
0,132,506,725
0,133,518,727
0,134,547,729
0,135,559,728
0,136,593,731
0,137,606,732
0,138,630,738
0,139,650,741
0,140,667,745
0,141,679,747
0,142,714,755
0,143,729,760
0,144,747,765
0,145,757,769
0,146,786,779
0,147,800,790
0,148,820,802
0,149,836,817
0,150,847,826
0,151,856,841
0,152,860,812
0,153,857,801
0,154,843,776
0,155,839,772
0,156,814,755
0,157,810,753
0,158,782,734
0,159,775,732
0,160,749,726
0,161,739,722
0,162,705,712
0,163,684,702
0,164,671,700
0,165,646,697
0,166,631,695
0,167,604,693
0,168,583,691
0,169,565,695
0,170,543,692
0,171,523,689
0,172,506,684
0,173,483,682
0,174,463,678
0,175,445,678
0,176,428,678
0,177,410,681
0,178,382,678
0,179,408,638
0,180,419,640
0,181,427,642
0,182,454,640
0,183,475,641
0,184,488,643
0,185,519,644
0,186,529,647
0,187,559,647
0,188,572,648
0,189,595,650
0,190,611,652
0,191,636,654
0,192,657,655
0,193,675,658
0,194,697,665
0,195,712,671
0,196,734,677
0,197,750,680
0,198,770,687
0,199,784,693
1,0,802,701
1,1,860,350
1,2,812,397
1,3,807,397
1,4,800,396
1,5,792,386
1,6,774,381
1,7,757,379
1,8,746,377
1,9,722,371
1,10,711,370
1,11,688,369
1,12,665,366
1,13,649,362
1,14,637,361
1,15,613,361
1,16,603,361
1,17,575,360
1,18,562,360
1,19,536,361
1,20,523,359
1,21,496,353
1,22,484,352
1,23,467,353
1,24,454,362
1,25,439,359
1,26,433,358
1,27,436,340
1,28,448,332
1,29,464,333
1,30,479,335
1,31,497,336
1,32,518,333
1,33,529,332
1,34,562,331
1,35,562,331
1,36,600,334
1,37,601,334
1,38,632,332
1,39,640,334
1,40,651,336
1,41,681,344
1,42,692,346
1,43,719,347
1,44,735,350
1,45,750,353
1,46,769,359
1,47,777,359
1,48,795,368
1,49,797,354
1,50,797,354
1,51,782,336
1,52,775,329
1,53,750,316
1,54,745,314
1,55,719,315
1,56,709,316
1,57,697,316
1,58,672,315
1,59,663,316
1,60,634,309
1,61,625,309
1,62,594,307
1,63,583,306
1,64,557,304
1,65,550,306
1,66,517,305
1,67,511,306
1,68,491,310
1,69,486,311
1,70,486,301
1,71,487,295
1,72,504,284
1,73,512,284
1,74,523,282
1,75,536,281
1,76,561,284
1,77,572,283
1,78,582,282
1,79,604,283
1,80,624,286
1,81,636,284
1,82,661,289
1,83,673,290
1,84,697,291
1,85,705,293
1,86,720,297
1,87,752,297
1,88,757,298
1,89,771,301
1,90,771,293
1,91,757,273
1,92,754,272
1,93,732,270
1,94,714,267
1,95,706,264
1,96,685,264
1,97,675,260
1,98,663,257
1,99,648,257
1,100,622,258
1,101,610,258
1,102,599,258
1,103,573,259
1,104,564,264
1,105,535,260
1,106,527,259
1,107,516,259
1,108,526,239
1,109,548,240
1,110,560,239
1,111,573,237
1,112,602,237
1,113,623,239
1,114,631,237
1,115,653,243
1,116,663,243
1,117,684,245
1,118,695,244
1,119,714,244
1,120,727,245
1,121,740,249
1,122,740,248
1,123,751,246
1,124,755,231
1,125,738,225
1,126,735,222
1,127,715,217
1,128,706,221
1,129,685,216
1,130,680,217
1,131,649,213
1,132,641,216
1,133,615,216
1,134,610,215
1,135,583,215
1,136,561,210
1,137,556,211
1,138,561,197
1,139,565,193
1,140,583,181
1,141,594,182
1,142,622,190
1,143,629,191
1,144,649,191
1,145,659,193
1,146,666,193
1,147,681,194
1,148,699,197
1,149,718,200
1,150,724,201
1,151,735,203
1,152,730,180
1,153,715,171
1,154,708,169
1,155,690,167
1,156,682,166
1,157,662,166
1,158,653,166
1,159,634,167
1,160,630,168
1,161,602,169
1,162,584,167
1,163,595,150
1,164,596,150
1,165,608,147
1,166,637,148
1,167,637,148
1,168,653,147
1,169,670,147
1,170,686,149
1,171,695,151
1,172,706,150
1,173,685,134
1,174,681,131
1,175,664,129
1,176,653,124
1,177,640,127
1,178,626,127
1,179,605,127
1,180,597,128
1,181,583,128
1,182,573,104
1,183,606,105
1,184,607,105
1,185,623,106
1,186,641,107
1,187,657,106
1,188,661,104
1,189,653,96
