strip,pixel,x,y
0,4,960,906
0,5,960,907
0,6,965,865
0,7,969,780
0,8,964,798
0,9,909,831
0,10,952,869
0,11,961,893
0,12,930,968
0,13,924,976
0,14,964,927
0,15,948,878
0,16,927,855
0,17,920,832
0,18,900,745
0,19,914,716
0,20,918,718
0,21,936,734
0,22,925,760
0,23,905,747
0,24,900,703
0,25,895,668
0,26,949,645
0,27,913,629
0,28,901,651
0,29,900,644
0,30,912,637
0,31,962,649
0,32,953,689
0,33,947,700
0,34,991,661
0,35,996,650
0,36,1001,599
0,37,1003,580
0,38,984,544
0,39,951,545
0,40,910,585
0,41,966,631
0,42,985,606
0,43,978,580
0,44,896,577
0,45,889,531
0,46,889,531
0,47,893,475
0,48,941,476
0,49,926,474
0,50,938,453
0,51,966,457
0,52,1004,458
0,53,1058,437
0,54,1003,406
0,55,975,440
0,56,983,466
0,57,985,477
0,58,987,530
0,59,984,546
0,60,960,544
0,61,969,525
0,62,988,470
0,63,995,458
0,64,1007,437
0,65,1002,399
0,66,977,433
0,67,995,432
0,68,1009,423
0,69,1016,394
0,70,1015,386
0,71,979,348
0,72,979,343
0,73,978,360
0,74,986,353
0,75,1045,367
0,76,1057,355
0,77,1043,321
0,78,1029,331
0,79,1004,347
0,80,1017,371
0,81,1029,404
0,82,1020,426
0,83,998,445
0,84,980,466
0,85,953,467
0,86,959,442
0,87,990,425
0,88,989,379
0,89,963,377
0,90,922,421
0,91,882,418
0,92,874,409
0,93,896,397
0,94,925,402
0,95,954,416
0,96,981,414
0,97,992,380
0,98,993,323
0,99,1000,312
0,100,1010,286
0,101,1064,352
0,102,1053,339
0,103,1065,313
0,104,1036,278
0,105,1034,287
0,106,1034,290
0,107,1033,326
0,108,1006,350
0,109,991,369
0,110,954,380
0,111,897,369
0,112,886,344
0,113,911,318
0,114,895,290
0,115,877,291
0,116,848,276
0,117,851,275
0,118,891,283
0,119,891,250
0,120,905,227
0,121,921,224
0,122,947,255
0,123,950,265
0,124,937,308
0,125,936,321
0,126,946,377
0,127,944,370
0,128,927,343
0,129,940,327
0,130,952,292
0,131,955,295
0,132,957,311
0,133,952,331
0,134,933,352
0,135,885,352
0,136,886,343
0,137,902,338
0,138,928,305
0,139,952,344
0,140,946,342
0,141,935,320
0,142,936,314
0,143,965,285
0,144,968,282
0,145,930,242
0,146,940,264
0,147,946,289
0,148,944,298
0,149,951,278
0,150,951,278
0,151,927,250
0,152,926,237
0,153,890,253
0,154,885,232
0,155,900,205
0,156,915,193
0,157,951,227
0,158,964,238
0,159,1010,266
0,160,1013,265
0,161,1035,267
0,162,1021,290
0,163,1015,319
0,164,993,330
0,165,963,308
0,166,992,310
0,167,1016,302
0,168,1020,290
0,169,1020,262
0,170,999,268
0,171,1028,250
0,172,1056,261
0,173,1056,290
0,174,1029,281
0,175,1021,251
0,176,1034,239
0,177,1070,263
0,178,1085,248
0,179,1098,242
0,180,1099,242
0,181,1083,215
0,182,1046,247
0,183,1035,261
0,184,1026,280
0,185,977,269
0,186,979,264
0,187,983,248
0,188,965,223
0,189,927,248
0,190,922,270
0,191,898,282
0,192,900,240
0,193,882,238
0,194,874,234
0,195,844,194
0,196,873,190
0,197,895,188
0,198,922,184
0,199,975,190
1,0,996,202
1,1,843,715
1,2,794,833
1,3,773,817
1,4,768,814
1,5,757,811
1,6,730,803
1,7,699,791
1,8,689,788
1,9,662,780
1,10,645,780
1,11,628,778
1,12,611,775
1,13,575,767
1,14,560,769
1,15,542,769
1,16,525,770
1,17,494,764
1,18,470,764
1,19,451,762
1,20,429,762
1,21,412,760
1,22,403,761
1,23,369,762
1,24,349,762
1,25,363,720
1,26,383,721
1,27,399,720
1,28,421,722
1,29,429,722
1,30,451,722
1,31,464,724
1,32,502,725
1,33,519,727
1,34,536,726
1,35,552,726
1,36,588,729
1,37,593,729
1,38,627,734
1,39,640,736
1,40,657,740
1,41,686,748
1,42,704,751
1,43,717,754
1,44,742,763
1,45,765,770
1,46,779,776
1,47,794,787
1,48,812,797
1,49,834,815
1,50,848,829
1,51,853,838
1,52,860,802
1,53,853,789
1,54,849,782
1,55,841,772
1,56,807,749
1,57,800,745
1,58,775,732
1,59,761,727
1,60,749,724
1,61,718,716
1,62,705,711
1,63,679,702
1,64,671,701
1,65,643,698
1,66,621,696
1,67,606,695
1,68,580,693
1,69,561,694
1,70,381,548
1,71,379,565
1,72,308,506
1,73,274,485
1,74,269,492
1,75,309,552
1,76,299,605
1,77,225,570
1,78,192,505
1,79,202,526
1,80,187,531
1,81,281,602
1,82,261,597
1,83,244,592
1,84,285,601
1,85,276,596
1,86,255,620
1,87,298,670
1,88,275,712
1,89,382,741
1,90,321,808
1,91,298,839
1,92,298,854
1,93,319,847
1,94,326,849
1,95,340,851
1,96,443,808
1,97,513,786
1,98,520,795
1,99,590,773
1,100,591,785
1,101,419,880
1,102,301,937
1,103,265,937
1,104,190,953
1,105,195,949
1,106,179,929
1,107,219,901
1,108,270,876
1,109,296,878
1,110,307,877
1,111,324,878
1,112,357,877
1,113,378,879
1,114,399,880
1,115,415,889
1,116,432,885
1,117,454,884
1,118,485,885
1,119,511,888
1,120,528,885
1,121,548,888
1,122,581,893
1,123,602,899
1,124,626,902
1,125,645,908
1,126,645,907
1,127,682,916
1,128,693,920
1,129,713,926
1,130,751,947
1,131,485,983
1,132,268,1000
1,133,170,997
1,134,160,992
1,135,168,1012
1,136,847,1028
1,137,893,1020
1,138,870,980
1,139,855,966
1,140,842,954
1,141,820,939
1,142,806,929
1,143,784,916
1,144,770,912
1,145,746,899
1,146,728,891
1,147,702,880
1,148,686,876
1,149,664,870
1,150,643,864
1,151,640,864
1,152,620,857
1,153,577,854
1,154,565,850
1,155,537,844
1,156,522,845
1,157,490,846
1,158,478,844
1,159,458,843
1,160,433,840
1,161,147,1002
1,162,396,837
1,163,360,837
1,164,342,835
1,165,325,837
1,166,311,839
1,167,277,841
1,168,297,789
1,169,313,795
1,170,333,796
1,171,348,797
1,172,368,796
1,173,388,797
1,174,418,799
1,175,434,799
1,176,444,799
1,177,472,800
1,178,501,803
1,179,515,803
1,180,536,806
1,181,561,810
1,182,591,812
1,183,601,810
1,184,635,819
1,185,645,817
1,186,660,820
1,187,679,825
1,188,719,842
1,189,733,843
1,190,750,850
1,191,765,855
1,192,792,870
1,193,809,885
1,194,831,892
1,195,840,904
1,196,860,919
1,197,862,878
1,198,856,880
1,199,844,863
2,0,835,855
2,1,1256,707
2,2,1470,629
2,3,1455,602
2,4,1439,603
2,5,1426,605
2,6,1397,607
2,7,1389,607
2,8,1363,611
2,9,1353,611
2,10,1333,612
2,11,1313,612
2,12,1280,617
2,13,1269,619
2,14,1255,622
2,15,1214,634
2,16,1124,665
2,17,1194,639
2,18,1172,642
2,19,1163,646
2,20,1149,652
2,21,1121,661
2,22,1109,665
2,23,1085,673
2,24,1076,674
2,25,1065,678
2,26,1051,684
2,27,1031,686
2,28,1040,652
2,29,1061,646
2,30,1071,640
2,31,1089,638
2,32,1119,628
2,33,1124,627
2,34,1156,614
2,35,1166,611
2,36,1183,606
2,37,1197,602
2,38,1230,594
2,39,1237,592
2,40,1263,587
2,41,1266,585
2,42,1299,584
2,43,1315,579
2,44,1326,579
2,45,1344,577
2,46,1373,575
2,47,1383,573
2,48,1407,574
2,49,1412,572
2,50,1427,569
2,51,1452,569
2,52,1462,565
2,53,1448,536
2,54,1432,537
2,55,1417,537
2,56,1406,538
2,57,1379,541
2,58,1362,543
2,59,1337,545
2,60,1317,547
2,61,1312,547
2,62,1286,548
2,63,1269,552
2,64,1259,554
2,65,1232,559
2,66,1211,562
2,67,1200,566
2,68,1189,570
2,69,1158,582
2,70,1144,584
2,71,1127,590
2,72,1115,593
2,73,1109,595
2,74,1084,604
2,75,1071,609
2,76,1058,614
2,77,1039,618
2,78,1046,585
2,79,1061,578
2,80,1094,566
2,81,1101,564
2,82,1115,560
2,83,1141,551
2,84,1155,547
2,85,1166,545
2,86,1196,536
2,87,1208,532
2,88,1223,528
2,89,1238,525
2,90,1264,522
2,91,1282,521
2,92,1295,518
2,93,1310,517
2,94,1338,514
2,95,1349,515
2,96,1373,512
2,97,1373,512
2,98,1388,510
2,99,1412,508
2,100,1423,507
2,101,1448,505
2,102,1455,496
2,103,1446,476
2,104,1424,479
2,105,1411,480
2,106,1389,483
2,107,1381,483
2,108,1350,485
2,109,1338,486
2,110,1326,486
2,111,1313,488
2,112,1285,490
2,113,1265,492
2,114,1250,497
2,115,1240,498
2,116,1213,502
2,117,1209,500
2,118,1180,506
2,119,1172,509
2,120,1147,519
2,121,1137,522
2,122,1132,526
2,123,1111,529
2,124,1083,540
2,125,1072,545
2,126,1047,551
2,127,1042,544
2,128,1054,523
2,129,1065,520
2,130,1093,504
2,131,1118,501
2,132,1125,497
2,133,1152,487
2,134,1159,485
2,135,1186,477
2,136,1192,477
2,137,1216,470
2,138,1228,471
2,139,1239,470
2,140,1265,462
2,141,1286,457
2,142,1305,454
2,143,1313,455
2,144,1336,458
2,145,1337,457
2,146,1358,455
2,147,1369,458
2,148,1391,454
2,149,1405,455
2,150,1424,451
2,151,1442,451
2,152,1444,449
2,153,1442,428
2,154,1445,425
2,155,1425,427
2,156,1405,427
2,157,1392,426
2,158,1380,426
2,159,1359,429
2,160,1336,425
2,161,1324,420
2,162,1315,417
2,163,1291,420
2,164,1267,429
2,165,1261,426
2,166,1238,431
2,167,1221,436
2,168,1212,435
2,169,1199,445
2,170,1180,447
2,171,1163,449
2,172,1142,454
2,173,1132,458
2,174,1111,465
2,175,1089,476
2,176,1072,483
2,177,1063,487
2,178,1048,473
2,179,1054,468
2,180,1077,459
2,181,1086,457
2,182,1107,449
2,183,1123,446
2,184,1135,440
2,185,1156,434
2,186,1175,428
2,187,1192,424
2,188,1212,418
2,189,1224,416
2,190,1240,411
2,191,1261,405
2,192,1259,407
2,193,1280,403
2,194,1313,403
2,195,1321,403
2,196,1332,400
2,197,1359,401
2,198,1376,393
2,199,1386,396
3,0,1403,393
3,1,1136,543
3,2,826,723
3,3,837,730
3,4,843,709
3,5,834,685
3,6,823,678
3,7,803,673
3,8,788,662
3,9,772,656
3,10,755,650
3,11,735,646
3,12,722,642
3,13,713,640
3,14,688,634
3,15,662,629
3,16,645,630
3,17,635,627
3,18,610,626
3,19,592,624
3,20,582,625
3,21,545,623
3,22,527,621
3,23,518,619
3,24,495,617
3,25,470,619
3,26,450,617
3,27,432,616
3,28,423,615
3,29,398,619
3,30,412,583
3,31,423,581
3,32,445,581
3,33,469,582
3,34,483,583
3,35,483,583
3,36,506,584
3,37,532,584
3,38,554,586
3,39,562,589
3,40,582,585
3,41,610,589
3,42,619,592
3,43,645,591
3,44,654,591
3,45,683,594
3,46,706,597
3,47,720,597
3,48,745,603
3,49,754,605
3,50,776,612
3,51,790,617
3,52,815,628
3,53,835,633
3,54,844,639
3,55,848,613
3,56,840,602
3,57,822,592
3,58,815,586
3,59,808,584
3,60,792,580
3,61,767,572
3,62,744,566
3,63,736,568
3,64,710,564
3,65,691,561
3,66,664,559
3,67,647,558
3,68,638,557
3,69,617,556
3,70,592,552
3,71,583,552
3,72,557,552
3,73,535,555
3,74,524,551
3,75,498,553
3,76,481,549
3,77,470,551
3,78,445,554
3,79,421,551
3,80,437,518
3,81,444,514
3,82,453,518
3,83,472,519
3,84,498,515
3,85,517,514
3,86,541,519
3,87,551,516
3,88,573,520
3,89,595,520
3,90,603,518
3,91,622,518
3,92,646,521
3,93,658,521
3,94,683,526
3,95,690,526
3,96,718,529
3,97,739,533
3,98,751,535
3,99,776,544
3,100,787,552
3,101,814,539
3,102,819,562
3,103,829,564
3,104,837,567
3,105,835,534
3,106,826,531
3,107,807,520
3,108,785,510
3,109,766,506
3,110,748,502
3,111,733,493
3,112,712,492
3,113,695,493
3,114,683,489
3,115,664,488
3,116,639,489
3,117,623,492
3,118,608,488
3,119,585,486
3,120,575,484
3,121,549,486
3,122,533,485
3,123,520,484
3,124,492,481
3,125,477,484
