strip,pixel,x,y
0,3,386,907
0,4,361,908
0,5,324,912
0,6,231,889
0,7,251,879
0,8,269,877
0,9,286,878
0,10,323,881
0,11,336,884
0,12,358,881
0,13,373,884
0,14,403,886
0,15,426,896
0,16,446,892
0,17,462,892
0,18,485,894
0,19,512,900
0,20,516,899
0,21,556,898
0,22,561,898
0,23,604,909
0,24,625,909
0,25,643,914
0,26,660,916
0,27,692,926
0,28,708,930
0,29,738,953
0,30,759,962
0,31,778,973
0,32,799,988
0,33,816,998
0,34,839,1012
0,35,849,1027
0,36,865,1031
0,37,878,1026
0,38,853,992
0,39,848,987
0,40,838,966
0,41,825,953
0,42,804,940
0,43,788,929
0,44,778,924
0,45,750,910
0,46,735,905
0,47,708,890
0,48,691,888
0,49,665,880
0,50,644,872
0,51,621,864
0,52,608,863
0,53,596,863
0,54,564,857
0,55,543,855
0,56,524,853
0,57,495,850
0,58,471,845
0,59,454,841
0,60,422,839
0,61,404,835
0,62,380,834
0,63,363,834
0,64,342,833
0,65,333,831
0,66,308,835
0,67,290,836
0,68,303,784
0,69,309,789
0,70,340,794
0,71,346,795
0,72,378,794
0,73,389,797
0,74,420,799
0,75,437,800
0,76,459,802
0,77,482,801
0,78,502,804
0,79,518,806
0,80,548,814
0,81,565,816
0,82,587,816
0,83,608,816
0,84,638,820
0,85,651,820
0,86,676,827
0,87,696,834
0,88,724,845
0,89,737,848
0,90,756,861
0,91,763,862
0,92,775,866
0,93,814,892
0,94,832,899
0,95,837,906
0,96,856,933
0,97,861,906
0,98,854,887
0,99,844,868
0,100,840,861
0,101,808,847
0,102,797,837
0,103,780,823
0,104,759,816
0,105,747,809
0,106,723,806
0,107,703,793
0,108,682,789
0,109,666,783
0,110,646,785
0,111,624,778
0,112,598,776
0,113,579,768
0,114,568,769
0,115,547,771
0,116,528,769
0,117,496,762
0,118,497,762
0,119,459,761
0,120,446,759
0,121,412,757
0,122,398,758
0,123,386,758
0,124,366,757
0,125,358,750
0,126,390,717
0,127,402,717
0,128,426,718
0,129,447,722
0,130,469,722
0,131,485,724
0,132,498,725
0,133,531,731
0,134,542,731
0,135,570,730
0,136,591,731
0,137,608,732
0,138,608,732
0,139,643,740
0,140,651,742
0,141,691,750
0,142,703,754
0,143,723,759
0,144,737,763
0,145,749,765
0,146,783,778
0,147,793,785
0,148,808,796
0,149,836,817
0,150,847,826
0,151,854,837
0,152,861,812
0,153,857,800
0,154,848,784
0,155,831,766
0,156,813,756
0,157,798,745
0,158,778,733
0,159,762,730
0,160,744,724
0,161,723,716
0,162,717,715
0,163,683,703
0,164,683,703
0,165,653,698
0,166,641,697
0,167,610,694
0,168,587,693
0,169,574,693
0,170,548,692
0,171,532,691
0,172,518,689
0,173,485,683
0,174,462,679
0,175,449,679
0,176,428,678
0,177,410,682
0,178,382,679
0,179,401,649
0,180,427,642
0,181,440,642
0,182,458,642
0,183,474,643
0,184,500,646
0,185,518,645
0,186,519,645
0,187,549,648
0,188,559,649
0,189,586,650
0,190,618,654
0,191,636,656
0,192,646,656
0,193,674,660
0,194,696,667
0,195,711,672
0,196,722,675
0,197,750,682
0,198,764,685
0,199,785,694
1,0,795,699
1,127,358,0
1,136,358,0
1,137,358,0
1,141,358,0
1,195,358,0
2,0,358,0
2,27,358,0
2,28,358,0
2,38,358,0
2,43,358,0
2,44,358,0
2,55,358,0
2,56,358,0
2,67,358,0
2,75,358,0
2,80,358,0
2,81,620,0
2,89,358,0
2,96,358,0
2,104,358,0
2,111,358,0
2,112,1556,0
2,113,358,0
2,115,358,0
2,116,358,0
2,118,358,0
2,122,358,0
2,123,358,0
2,124,358,0
2,125,358,0
2,128,957,0
2,131,358,0
2,132,358,0
2,136,358,0
2,137,358,0
2,138,358,0
2,140,358,0
2,141,358,0
2,144,358,0
2,149,358,0
2,155,358,0
2,156,358,0
2,157,1557,0
2,158,358,0
2,159,358,0
2,160,358,0
2,163,358,0
2,165,358,0
2,166,358,0
2,169,358,0
2,170,358,0
2,173,358,0
2,175,358,0
2,176,358,0
2,179,358,0
2,180,358,0
2,183,358,0
2,185,358,0
2,186,358,0
2,192,358,0
2,194,358,0
2,195,621,0
2,196,358,0
2,197,358,0
3,0,358,0
3,1,358,0
3,2,358,0
3,3,358,0
3,8,358,0
3,9,358,0
3,12,358,0
3,15,358,0
3,16,358,0
3,18,358,0
3,22,358,0
3,23,358,0
3,25,358,0
3,28,1043,296
3,29,358,0
3,32,358,0
3,33,358,0
3,34,358,0
3,36,358,0
3,37,358,0
3,39,358,0
3,41,358,0
3,42,358,0
3,43,358,0
3,44,358,0
3,46,358,0
3,49,358,0
3,50,358,0
3,51,358,0
3,52,957,0
3,53,358,0
3,56,358,0
3,59,358,0
3,61,358,0
3,62,358,0
3,63,358,0
3,65,358,0
3,66,358,0
3,67,358,0
3,68,358,0
3,69,358,0
3,70,358,0
3,71,358,0
3,74,358,0
3,75,358,0
3,76,358,0
3,78,358,0
3,79,358,0
