strip,pixel,x,y
0,2,703,901
0,3,676,951
0,4,726,926
0,5,681,894
0,6,684,930
0,7,724,869
0,8,693,831
0,9,718,807
0,10,678,799
0,11,723,769
0,12,729,752
0,13,697,721
0,14,735,710
0,15,733,698
0,16,704,677
0,17,735,646
0,18,700,609
0,19,716,620
0,20,747,604
0,21,720,576
0,22,764,558
0,23,723,539
0,24,771,527
0,25,744,508
0,26,773,502
0,27,754,490
0,28,788,474
0,29,764,456
0,30,829,429
0,31,809,396
0,32,818,392
0,33,850,403
0,34,831,392
0,35,818,383
0,36,838,392
0,37,820,379
0,38,828,380
0,39,801,384
0,41,800,408
0,42,773,423
0,43,784,464
0,44,730,470
0,45,775,485
0,46,730,485
0,47,740,484
0,48,721,451
0,49,718,462
0,50,779,439
0,51,727,408
0,52,734,386
0,53,734,379
0,54,725,367
0,55,731,379
0,56,777,359
0,57,755,361
0,58,741,323
0,59,694,340
0,60,734,311
0,61,685,326
0,62,714,315
0,63,722,262
0,64,668,277
0,65,717,252
0,66,669,248
0,67,700,220
0,68,746,240
0,69,722,213
0,70,762,202
0,71,711,217
0,72,762,223
0,73,711,219
0,74,724,233
0,75,738,225
0,76,781,246
0,77,748,235
0,78,735,253
0,79,771,255
0,80,749,280
0,81,798,288
0,82,756,310
0,83,776,345
0,84,824,328
0,85,790,363
0,86,826,384
0,87,784,363
0,88,753,372
0,89,817,365
0,90,821,366
0,91,813,310
0,92,807,356
0,93,811,345
0,94,853,326
0,95,822,328
0,96,843,305
0,97,802,271
0,98,825,298
0,99,879,309
0,100,870,322
0,101,851,300
0,102,804,301
0,103,813,252
0,104,767,250
0,105,816,235
0,106,772,246
0,107,820,228
0,108,765,223
0,109,810,222
0,110,769,200
0,111,826,185
0,112,817,227
0,113,833,185
0,114,831,220
0,115,869,236
0,116,836,250
0,117,867,222
0,118,869,235
0,119,842,279
0,120,868,264
0,121,899,239
0,122,918,234
0,123,933,224
0,124,923,220
0,125,906,198
0,126,886,234
0,127,887,219
0,128,847,189
0,129,878,199
0,130,909,176
0,131,908,204
0,132,932,239
0,133,902,210
0,134,918,180
0,135,887,184
0,136,892,153
0,137,852,153
0,138,828,176
0,139,826,150
0,140,811,161
0,141,794,158
0,142,800,159
0,143,815,183
0,144,790,167
0,145,775,195
0,146,768,175
0,147,748,201
0,148,719,207
0,149,713,207
0,150,704,214
0,151,703,208
0,152,685,195
0,153,676,209
0,154,669,192
0,155,636,218
0,156,616,217
0,157,627,197
0,158,624,186
0,159,609,186
0,160,608,183
0,161,607,150
0,162,541,149
0,163,557,139
0,164,574,102
0,165,531,106
0,166,515,105
0,167,522,95
0,168,560,68
0,169,562,59
0,170,578,59
0,171,545,79
0,172,573,92
