strip,pixel,x,y
0,1,460,450
0,2,551,265
0,4,863,116
0,5,972,90
0,6,1114,162
0,7,1227,252
0,8,1276,395
0,9,1244,536
0,10,1192,759
0,11,1076,877
0,12,816,895
0,13,693,792
0,14,537,639
0,15,465,490
0,16,591,384
0,17,643,228
0,18,838,198
0,19,998,126
0,20,1163,188
0,21,1252,334
0,22,1268,487
0,23,1073,605
0,24,996,804
0,25,728,769
0,26,647,594
0,27,507,474
0,28,706,320
0,29,748,266
0,30,917,219
0,31,1065,251
0,32,1132,333
0,33,1199,447
0,34,1043,556
0,35,848,701
0,36,733,529
0,37,575,550
0,38,687,412
0,39,779,239
0,40,956,247
0,41,1076,391
0,42,1123,554
0,43,938,555
0,44,811,479
0,45,727,351
0,46,889,252
0,47,1063,342
0,48,947,445
0,49,795,360
