strip,pixel,x,y
8,2,577,831
8,3,627,849
8,4,630,847
8,5,727,824
8,6,728,823
8,7,821,805
8,8,862,760
8,9,915,775
8,10,951,732
8,11,937,687
8,12,903,726
8,13,850,713
8,14,810,751
8,15,758,738
8,16,718,776
8,17,667,761
8,18,623,800
8,19,569,781
8,20,524,818
8,21,521,764
8,22,563,728
8,23,614,744
8,24,658,708
8,25,707,723
8,26,747,686
8,27,797,699
8,28,835,663
8,29,886,675
8,30,922,638
8,31,907,589
8,32,872,625
8,33,822,613
8,34,787,651
8,35,737,636
8,36,698,672
8,37,649,657
8,38,608,693
8,39,559,675
8,40,516,710
8,41,513,658
8,42,554,623
8,43,601,640
8,44,642,606
8,45,688,621
8,46,727,586
8,47,774,600
8,48,810,566
8,49,858,577
8,50,892,542
8,51,877,498
8,52,843,530
8,53,798,518
8,54,764,554
8,55,718,538
8,56,678,572
8,57,634,558
8,58,596,591
8,59,548,573
8,60,508,606
8,61,505,557
8,62,545,525
8,63,589,541
8,64,627,509
8,65,672,526
8,66,706,492
8,67,751,505
8,68,786,473
8,69,831,486
8,70,862,452
8,71,849,410
8,72,818,440
8,73,774,428
8,74,741,460
8,75,696,445
8,76,662,477
8,77,619,464
8,78,582,495
8,79,539,477
8,80,502,508
8,81,499,461
8,82,535,432
8,83,576,449
8,84,612,418
8,85,654,432
8,86,691,401
8,87,731,415
8,88,762,384
8,89,804,397
8,90,834,366
8,91,823,327
8,92,793,357
8,93,751,344
8,94,722,373
8,95,679,361
8,96,647,392
8,97,604,373
8,98,572,406
8,99,531,389
8,100,495,419
8,101,1018,713
8,102,1055,733
8,103,1084,704
8,104,1121,723
8,105,1146,695
8,106,1181,717
8,107,1207,690
8,108,1244,712
8,109,1274,684
8,110,1310,710
8,111,1305,663
8,112,1271,638
8,113,1239,665
8,114,1204,641
8,115,1174,671
8,116,1137,648
8,117,1110,677
8,118,1071,655
8,119,1044,687
8,120,1006,668
8,121,1728,240
8,122,1039,635
8,123,1059,606
8,124,1098,626
8,125,1127,596
8,126,1166,616
8,127,1196,588
8,128,1235,612
8,129,1265,587
8,130,1302,613
8,131,1300,564
8,132,1264,539
8,133,1230,564
8,134,1191,541
8,135,1160,570
8,136,1122,549
8,137,1090,576
8,138,1051,557
8,139,1020,587
8,140,979,570
8,141,967,522
8,142,1008,539
8,143,1039,509
8,144,1080,528
8,145,1112,499
8,146,1153,520
8,147,1186,493
8,148,1224,514
8,149,1259,490
8,150,1297,515
8,151,1294,468
8,152,1255,444
8,153,1219,469
8,154,1180,448
8,155,1146,473
8,156,1105,453
8,157,1072,482
8,158,1030,462
8,159,998,492
8,160,954,475
8,161,942,432
8,162,986,446
8,163,1020,417
8,164,1062,435
8,165,1097,409
8,166,1139,427
8,167,1175,401
8,168,1214,422
8,169,1250,398
8,170,1250,398
8,171,1291,421
8,172,1289,377
8,173,1248,355
8,174,1210,378
8,175,1169,356
8,176,1131,381
8,177,1091,364
8,178,1054,390
8,179,977,402
8,180,931,388
8,181,919,343
8,182,967,360
8,183,957,319
8,184,1002,333
8,185,1045,346
8,186,1038,306
8,187,1082,323
8,188,1125,337
8,189,1120,297
8,190,1164,316
8,191,1206,334
8,192,1202,293
8,193,1244,313
8,194,1286,333
8,195,1283,291
8,196,1301,297
8,197,1319,383
8,198,1409,368
8,199,1365,377
8,200,1355,356
8,201,1372,715
8,202,1404,691
8,203,1436,721
8,204,1468,698
8,205,1500,730
8,206,1533,709
8,207,1563,742
8,208,1598,724
8,209,1628,758
8,210,1663,740
8,211,1673,693
8,212,1636,710
8,213,1606,674
8,214,1568,693
8,215,1539,660
8,216,1502,681
8,217,1471,650
8,218,1437,671
8,219,1405,642
8,220,1373,666
8,221,1372,614
8,222,1404,590
8,223,1437,620
8,224,1474,600
8,225,1507,628
8,226,1543,611
8,227,1574,643
8,228,1613,623
8,229,1642,658
8,230,1683,642
8,231,1691,593
8,232,1652,609
8,233,1620,574
8,234,1581,592
8,235,1548,561
8,236,1510,580
8,237,1476,549
8,238,1440,571
8,239,1405,543
8,240,1371,565
8,241,1369,515
8,242,1405,495
8,243,1441,522
8,244,1479,502
8,245,1513,530
8,246,1551,512
8,247,1586,543
8,248,1627,527
8,249,1659,559
8,250,1700,545
8,251,1709,499
8,252,1667,512
8,253,1633,481
8,254,1592,496
8,255,1556,465
8,256,1517,483
8,257,1481,454
8,258,1443,474
8,259,1405,447
8,260,1368,470
8,261,1367,424
8,262,1405,403
8,263,1443,428
8,264,1483,410
8,265,1520,436
8,266,1561,420
8,267,1597,449
8,268,1639,434
8,269,1675,465
8,270,1719,453
8,271,1727,409
8,272,1682,421
8,273,1646,390
8,274,1602,406
8,275,1566,374
8,276,1524,388
8,277,1486,365
8,278,1445,384
8,279,1406,358
8,280,1366,378
8,281,1366,334
8,282,1364,294
8,283,1406,318
8,284,1446,343
8,285,1488,324
8,286,1526,350
8,287,1569,335
8,288,1606,363
8,289,1651,349
8,290,1688,379
8,291,1732,369
8,292,1792,402
8,293,1798,462
8,294,1825,507
8,295,1852,560
8,296,1884,605
8,297,1875,682
8,298,1897,717
8,299,1906,772
