strip,pixel,x,y
5,1,364,699
5,2,392,730
5,3,434,717
5,4,458,747
5,5,500,734
5,6,526,762
5,7,567,747
5,8,596,776
5,9,636,760
5,10,665,787
5,11,675,744
5,12,647,716
5,13,608,732
5,14,581,705
5,15,540,720
5,16,515,691
5,17,474,705
5,18,450,676
5,19,409,688
5,20,386,659
5,21,404,619
5,22,427,647
5,23,466,636
5,24,490,663
5,25,529,650
5,26,554,677
5,27,593,663
5,28,620,690
5,29,658,674
5,30,686,701
5,31,696,659
5,32,669,634
5,33,632,648
5,34,606,623
5,35,568,637
5,36,544,610
5,37,506,623
5,38,482,596
5,39,443,608
5,40,422,580
5,41,439,542
5,42,460,569
5,43,498,558
5,44,520,584
5,45,558,571
5,46,581,597
5,47,618,583
5,48,643,608
5,49,679,594
5,50,705,619
5,51,715,579
5,52,689,555
5,53,654,569
5,54,630,544
5,55,594,558
5,56,571,533
5,57,535,545
5,58,513,520
5,59,476,531
5,60,456,505
5,61,472,469
5,62,492,494
5,63,527,483
5,64,549,508
5,65,584,496
5,66,606,520
5,67,641,507
5,68,664,531
5,69,699,517
5,70,724,541
5,71,733,502
5,72,708,479
5,73,675,493
5,74,652,470
5,75,618,483
5,76,596,459
5,77,562,470
5,78,541,447
5,79,507,458
5,80,487,433
5,81,502,399
5,82,521,422
5,83,554,411
5,84,575,435
5,85,608,423
5,86,630,446
5,87,663,434
5,88,685,457
5,89,718,443
5,90,741,465
5,91,748,431
5,92,724,408
5,93,695,421
5,94,671,399
5,95,640,413
5,96,618,389
5,97,587,400
5,98,566,378
5,99,534,390
5,100,515,366
5,101,736,801
5,102,775,783
5,103,806,809
5,104,845,789
5,105,879,814
5,106,917,794
5,107,951,818
5,108,987,797
5,109,1023,821
5,110,1059,799
5,111,1057,755
5,112,1023,776
5,113,988,753
5,114,953,773
5,115,920,750
5,116,883,769
5,117,850,745
5,118,813,764
5,119,782,738
5,120,744,756
5,121,752,714
5,122,789,696
5,123,819,721
5,124,855,702
5,125,886,727
5,126,922,707
5,127,955,730
5,128,989,710
5,129,1023,732
5,130,1056,711
5,131,1055,669
5,132,1023,689
5,133,990,667
5,134,957,687
5,135,925,665
5,136,891,683
5,137,860,661
5,138,825,678
5,139,796,654
5,140,759,672
5,141,768,630
5,142,802,614
5,143,831,637
5,144,865,619
5,145,895,642
5,146,928,623
5,147,959,646
5,148,991,627
5,149,1023,648
5,150,1055,628
5,151,1054,588
5,152,1023,607
5,153,993,586
5,154,961,605
5,155,931,584
5,156,899,601
5,157,870,579
5,158,837,597
5,159,809,574
5,160,775,590
5,161,782,551
5,162,815,536
5,163,842,557
5,164,875,540
5,165,902,562
5,166,934,545
5,167,963,566
5,168,993,548
5,169,1023,568
5,170,1053,549
5,171,1052,511
5,172,1023,529
5,173,994,509
5,174,964,527
5,175,937,507
5,176,906,523
5,177,879,503
5,178,848,519
5,179,821,498
5,180,789,514
5,181,795,480
5,182,826,464
5,183,852,483
5,184,882,468
5,185,909,489
5,186,939,472
5,187,965,491
5,188,995,474
5,189,1023,492
5,190,1051,475
5,191,1050,439
5,192,1023,456
5,193,995,438
5,194,967,454
5,195,941,435
5,196,911,451
5,197,886,431
5,198,856,447
5,199,832,427
5,200,801,442
5,201,1130,799
5,202,1167,821
5,203,1201,798
5,204,1239,819
5,205,1272,794
5,206,1311,814
5,207,1342,788
5,208,1382,807
5,209,1413,781
5,210,1454,798
5,211,1442,754
5,212,1402,736
5,213,1373,762
5,214,1334,744
5,215,1303,768
5,216,1265,750
5,217,1233,773
5,218,1196,754
5,219,1163,776
5,220,1127,756
5,221,1124,711
5,222,1159,733
5,223,1191,709
5,224,1227,730
5,225,1258,706
5,226,1295,725
5,227,1325,701
5,228,1363,719
5,229,1392,693
5,230,1431,711
5,231,1419,669
5,232,1382,652
5,233,1354,676
5,234,1317,659
5,235,1288,683
5,236,1251,664
5,237,1221,687
5,238,1186,667
5,239,1155,689
5,240,1121,669
5,241,1118,628
5,242,1152,648
5,243,1181,626
5,244,1216,645
5,245,1245,623
5,246,1280,641
5,247,1309,618
5,248,1344,635
5,249,1371,611
5,250,1408,627
5,251,1397,587
5,252,1361,572
5,253,1335,594
5,254,1300,577
5,255,1273,600
5,256,1238,583
5,257,1211,604
5,258,1177,586
5,259,1148,606
5,260,1115,588
5,261,1113,548
5,262,1144,567
5,263,1172,547
5,264,1205,565
5,265,1232,544
5,266,1266,561
5,267,1292,539
5,268,1326,556
5,269,1352,532
5,270,1387,548
5,271,1376,510
5,272,1342,495
5,273,1317,517
5,274,1284,501
5,275,1259,522
5,276,1226,506
5,277,1200,526
5,278,1168,510
5,279,1141,529
5,280,1110,510
5,281,1108,475
5,282,1138,492
5,283,1164,473
5,284,1195,491
5,285,1221,470
5,286,1252,485
5,287,1278,466
5,288,1310,481
5,289,1334,460
5,290,1366,473
5,291,1357,439
5,292,1325,424
5,293,1302,444
5,294,1270,429
5,295,1246,449
5,296,1215,433
5,297,1190,453
5,298,1160,436
5,299,1134,455
