strip,pixel,x,y
0,1,947,932
0,2,939,888
0,3,956,917
0,4,968,866
0,5,967,816
0,6,964,788
0,7,963,806
0,8,914,817
0,9,912,875
0,10,967,867
0,11,961,934
0,12,932,978
0,13,965,959
0,14,970,888
0,15,948,865
0,16,942,856
0,17,920,796
0,18,918,742
0,19,939,714
0,20,934,726
0,21,974,755
0,22,916,765
0,23,916,719
0,24,909,695
0,25,904,639
0,26,964,652
0,27,920,632
0,28,910,667
0,29,923,652
0,30,927,641
0,31,986,661
0,32,953,702
0,33,970,689
0,34,997,647
0,35,999,636
0,36,1010,585
0,37,1004,533
0,38,954,536
0,39,921,590
0,40,952,627
0,41,978,637
0,42,1002,590
0,43,982,561
0,44,917,588
0,45,909,530
0,46,949,506
0,47,896,465
0,48,961,477
0,49,906,470
0,50,957,458
0,51,968,462
0,52,1019,463
0,53,1068,433
0,54,1012,407
0,55,982,440
0,56,999,474
0,57,1005,519
0,58,996,548
0,59,946,569
0,60,982,533
0,61,999,502
0,62,1010,473
0,63,1024,439
0,64,1017,388
0,65,995,413
0,66,985,453
0,67,1032,430
0,68,1010,427
0,69,1028,393
0,70,1034,375
0,71,980,350
0,72,1013,344
0,73,994,366
0,74,1033,328
0,75,1055,375
0,76,1088,351
0,77,1053,322
0,78,1042,326
0,79,1009,347
0,80,1048,377
0,81,1047,419
0,82,1020,449
0,83,985,472
0,84,952,498
0,85,957,448
0,86,999,429
0,87,1032,405
0,88,986,363
0,89,939,387
0,90,941,424
0,91,882,413
0,92,909,397
0,93,919,395
0,94,932,411
0,95,991,425
0,96,1006,392
0,97,1017,370
0,98,1003,323
0,99,1012,300
0,100,1030,266
0,101,1071,361
0,102,1061,345
0,103,1085,308
0,104,1056,276
0,105,1052,297
0,106,1054,327
0,107,1041,348
0,108,1009,377
0,109,972,389
0,110,917,389
0,111,886,359
0,112,934,323
0,113,917,286
0,114,892,285
0,115,842,284
0,116,861,278
0,117,889,307
0,118,922,274
0,119,895,238
0,120,936,214
0,121,933,231
0,122,965,255
0,123,982,287
0,124,947,309
0,125,943,343
0,126,956,382
0,127,956,361
0,128,942,346
0,129,957,330
0,130,962,286
0,131,973,315
0,132,970,334
0,133,941,354
0,134,911,355
0,135,879,351
0,136,912,338
0,137,916,287
0,138,947,311
0,139,975,350
0,140,936,325
0,141,949,321
0,142,953,298
0,143,992,292
0,144,992,248
0,145,940,243
0,146,963,280
0,147,970,302
0,148,949,288
0,149,967,274
0,150,972,268
0,151,931,256
0,152,944,237
0,153,894,262
0,154,889,221
0,155,930,189
0,156,968,215
0,157,978,236
0,158,1011,250
0,159,1028,273
0,160,1060,270
0,161,1042,299
0,162,1047,322
0,163,1011,317
0,164,990,348
0,165,973,303
0,166,1023,306
0,167,1033,300
0,168,1028,266
0,169,1051,253
0,170,1008,281
0,171,1039,247
0,172,1098,269
0,173,1061,310
0,174,1050,291
0,175,1030,246
0,176,1064,229
0,177,1091,272
0,178,1099,245
0,179,1108,244
0,180,1098,212
0,181,1071,243
0,182,1058,258
0,183,1043,286
0,184,993,268
0,185,1008,276
0,186,1010,256
0,187,987,218
0,188,932,241
0,189,948,262
0,190,910,286
0,191,915,237
0,192,917,243
0,193,893,250
0,194,849,229
0,195,858,182
0,196,893,202
0,197,928,193
0,198,975,171
0,199,997,190
