strip,pixel,x,y
9,1,751,456
9,2,724,480
9,3,695,458
9,4,662,480
9,5,637,457
9,6,607,478
9,7,577,454
9,8,538,473
9,9,517,448
9,10,462,467
9,11,438,512
9,12,497,492
9,13,502,518
9,14,569,499
9,15,595,521
9,16,627,502
9,17,663,524
9,18,691,502
9,19,723,524
9,20,751,500
9,21,752,545
9,22,722,569
9,23,691,547
9,24,655,569
9,25,627,546
9,26,580,568
9,27,547,543
9,28,496,562
9,29,463,536
9,30,433,556
9,31,416,602
9,32,469,583
9,33,522,610
9,34,563,588
9,35,580,612
9,36,620,592
9,37,655,616
9,38,681,593
9,39,716,615
9,40,751,591
9,41,752,637
9,42,718,662
9,43,682,639
9,44,643,659
9,45,609,636
9,46,568,659
9,47,517,633
9,48,485,656
9,49,447,629
9,50,416,649
9,51,410,697
9,52,453,677
9,53,480,704
9,54,517,682
9,55,570,708
9,56,599,683
9,57,637,709
9,58,677,684
9,59,710,708
9,60,752,684
9,61,751,732
9,62,717,757
9,63,669,734
9,64,630,758
9,65,602,733
9,66,547,756
9,67,514,729
9,68,488,751
9,69,446,724
9,70,416,744
9,71,402,793
9,72,431,772
9,73,471,800
9,74,513,778
9,75,544,805
9,76,587,782
9,77,641,807
9,78,670,782
9,79,715,806
9,80,754,781
9,81,754,831
9,82,719,857
9,83,679,832
9,84,632,857
9,85,589,831
9,86,543,855
9,87,507,827
9,88,455,850
9,89,447,821
9,90,389,841
9,91,390,912
9,92,421,871
9,93,459,921
9,94,490,895
9,95,537,930
9,96,582,900
9,97,628,936
9,98,664,894
9,99,712,938
9,100,751,887
9,101,1117,485
9,102,1088,464
9,103,1060,487
9,104,1032,465
9,105,1002,489
9,106,976,467
9,107,948,487
9,108,921,460
9,109,892,480
9,110,865,455
9,111,860,498
9,112,887,524
9,113,919,505
9,114,945,529
9,115,974,509
9,116,994,533
9,117,1021,512
9,118,1062,531
9,119,1090,508
9,120,1121,529
9,121,1037,593
9,122,1073,558
9,123,1064,577
9,124,1031,553
9,125,1002,575
9,126,973,551
9,127,944,572
9,128,916,549
9,129,883,568
9,130,855,544
9,131,849,589
9,132,877,615
9,133,911,595
9,134,940,619
9,135,972,596
9,136,1002,621
9,137,1033,598
9,138,1020,630
9,139,963,623
9,140,1010,640
9,141,1133,668
9,142,1043,653
9,144,1024,648
9,145,1003,669
9,146,971,645
9,147,938,666
9,148,907,641
9,149,873,661
9,150,844,635
9,151,838,681
9,152,869,708
9,153,903,688
9,154,935,714
9,155,970,692
9,156,1002,717
9,157,1036,694
9,158,1070,718
9,159,1102,693
9,160,1137,716
9,161,1144,765
9,162,1106,741
9,163,1072,767
9,164,1037,742
9,165,1002,765
9,166,969,740
9,167,933,762
9,168,901,736
9,169,864,757
9,170,832,729
9,171,826,778
9,172,859,806
9,173,896,785
9,174,930,812
9,175,967,789
9,176,1002,815
9,177,1038,791
9,178,1074,816
9,179,1109,791
9,180,1150,814
9,181,1153,864
9,182,1112,840
9,183,1077,866
9,184,1039,841
9,185,1002,866
9,186,965,839
9,187,928,862
9,188,892,834
9,189,853,856
9,190,819,827
9,191,812,877
9,192,848,933
9,193,888,882
9,194,922,942
9,195,964,898
9,196,1001,947
9,197,1039,891
9,198,1081,947
9,199,1117,891
9,200,1159,946
9,201,1521,459
9,203,1440,461
9,204,1401,486
9,205,1371,464
9,206,1341,487
9,207,1311,463
9,208,1281,486
9,209,1252,461
9,210,1222,483
9,211,1221,528
9,212,1250,506
9,213,1280,532
9,214,1311,509
9,215,1343,533
9,216,1372,509
9,217,1406,533
9,218,1443,507
9,219,1483,528
9,220,1521,502
9,221,1524,552
9,222,1487,577
9,223,1447,554
9,224,1387,583
9,225,1364,559
9,226,1296,589
9,227,1313,556
9,228,1220,590
9,229,1249,554
9,230,1197,580
9,231,1053,647
9,232,1193,611
9,233,1169,643
9,234,1175,626
9,235,1310,633
9,236,1259,622
9,237,1394,631
9,238,1450,603
9,239,1489,626
9,240,1526,601
9,241,1529,649
9,243,1454,650
9,244,1418,676
9,245,1321,659
9,246,1349,676
9,247,1277,656
9,248,1254,678
9,249,1198,655
9,250,1197,673
9,251,1213,719
9,252,1247,697
9,253,1282,724
9,254,1316,701
9,255,1352,727
9,256,1386,702
9,257,1423,726
9,258,1458,700
9,259,1497,724
9,260,1532,699
9,261,1535,748
9,262,1501,773
9,263,1463,749
9,264,1428,775
9,265,1390,751
9,266,1355,776
9,267,1318,750
9,268,1283,773
9,269,1247,746
9,270,1212,768
9,271,1210,818
9,272,1246,796
9,273,1282,824
9,274,1319,800
9,275,1358,827
9,276,1393,800
9,277,1432,825
9,278,1466,799
9,279,1504,823
9,280,1536,798
9,281,1540,847
9,282,1506,873
9,283,1470,849
9,284,1437,875
9,285,1397,850
9,286,1360,876
9,287,1321,850
9,288,1284,874
9,289,1247,847
9,290,1210,869
9,291,1208,945
9,292,1246,896
9,293,1289,956
9,294,1323,901
9,295,1366,959
9,296,1399,903
9,297,1447,958
9,298,1474,901
9,299,1514,953
