strip,pixel,x,y
0,2,553,265
0,3,723,173
0,4,862,88
0,5,980,85
0,6,1123,152
0,7,1235,246
0,8,1349,391
0,9,1199,484
0,10,1186,743
0,11,1076,875
0,12,820,891
0,13,693,788
0,14,534,646
0,15,447,500
0,16,595,380
0,17,642,220
0,18,842,185
0,19,999,132
0,20,1162,194
0,21,1246,324
0,22,1268,478
0,23,1063,599
0,24,993,798
0,25,730,763
0,26,643,602
0,27,507,464
0,28,695,321
0,29,757,263
0,30,919,222
0,31,1070,236
0,32,1132,335
0,33,1201,447
0,34,1040,558
0,35,854,695
0,36,728,539
0,37,576,547
0,38,687,410
0,39,773,234
0,40,958,251
0,41,1083,393
0,42,1120,550
0,43,935,562
0,44,804,485
0,45,734,352
0,46,884,248
0,47,1054,337
0,48,943,438
0,49,788,352
0,50,956,333
