strip,pixel,x,y
9,1,622,382
9,2,594,407
9,3,563,385
9,4,534,409
9,5,504,386
9,6,474,409
9,7,445,384
9,8,414,406
9,9,385,381
9,10,354,402
9,11,350,450
9,12,382,428
9,13,411,454
9,14,443,431
9,15,473,456
9,16,504,433
9,17,536,456
9,18,565,432
9,19,597,454
9,20,626,429
9,21,630,475
9,22,600,501
9,23,568,479
9,24,537,503
9,25,505,480
9,26,473,503
9,27,442,479
9,28,409,501
9,29,379,476
9,30,345,497
9,31,341,545
9,32,375,523
9,33,406,549
9,34,440,527
9,35,472,551
9,36,505,528
9,37,538,551
9,38,570,526
9,39,603,548
9,40,634,522
9,41,638,569
9,42,606,595
9,43,572,573
9,44,539,598
9,45,505,575
9,46,472,599
9,47,439,574
9,48,404,596
9,49,372,571
9,50,336,592
9,51,333,640
9,52,368,619
9,53,401,645
9,54,437,622
9,55,471,646
9,56,506,623
9,57,540,646
9,58,574,621
9,59,609,643
9,60,641,617
9,61,646,663
9,62,612,690
9,63,576,668
9,64,541,694
9,65,506,670
9,66,470,694
9,67,436,670
9,68,399,692
9,69,366,667
9,70,328,688
9,71,324,736
9,72,362,714
9,73,397,741
9,74,434,718
9,75,470,743
9,76,506,719
9,77,542,742
9,78,578,716
9,79,615,738
9,80,649,711
9,81,653,759
9,82,618,786
9,83,580,764
9,84,543,790
9,85,506,767
9,86,469,791
9,87,432,766
9,88,395,789
9,89,358,763
9,90,320,784
9,91,317,832
9,92,356,811
9,93,393,838
9,94,431,814
9,95,469,839
9,96,507,815
9,97,545,838
9,98,582,812
9,99,621,834
9,100,657,807
9,101,1000,402
9,102,969,382
9,103,943,406
9,104,914,384
9,105,886,407
9,106,857,384
9,107,829,406
9,108,800,382
9,109,770,403
9,110,742,377
9,111,739,424
9,112,768,449
9,113,799,428
9,114,828,452
9,115,858,430
9,116,887,453
9,117,916,429
9,118,946,451
9,119,974,427
9,120,1005,448
9,121,1009,494
9,122,978,473
9,123,950,497
9,124,918,475
9,125,889,499
9,126,858,476
9,127,828,498
9,128,797,474
9,129,766,496
9,130,736,470
9,131,733,517
9,132,764,542
9,133,796,521
9,134,827,544
9,135,859,522
9,136,890,545
9,137,921,521
9,138,952,543
9,139,981,518
9,140,1014,539
9,141,1019,585
9,142,986,564
9,143,956,589
9,144,923,567
9,145,892,591
9,146,859,568
9,147,827,591
9,148,795,567
9,149,761,589
9,150,730,564
9,151,727,610
9,152,759,636
9,153,793,614
9,154,826,638
9,155,860,615
9,156,893,638
9,157,925,614
9,158,959,635
9,159,990,610
9,160,1024,631
9,161,1029,677
9,162,993,656
9,163,962,682
9,164,927,660
9,165,894,684
9,166,860,661
9,167,826,685
9,168,792,661
9,169,757,683
9,170,724,657
9,171,720,704
9,172,755,730
9,173,791,708
9,174,825,732
9,175,860,708
9,176,896,731
9,177,930,707
9,178,965,728
9,179,997,703
9,180,1034,723
9,181,1039,769
9,182,1002,749
9,183,968,775
9,184,932,753
9,185,897,778
9,186,860,755
9,187,825,779
9,188,789,755
9,189,752,777
9,190,717,751
9,191,713,799
9,192,749,825
9,193,787,802
9,194,824,827
9,195,861,803
9,196,898,826
9,197,934,801
9,198,971,822
9,199,1005,796
9,200,1044,815
9,201,1387,367
9,202,1351,392
9,203,1312,371
9,204,1276,397
9,205,1247,376
9,206,1218,400
9,207,1189,377
9,208,1161,400
9,209,1133,376
9,210,1103,399
9,211,1101,446
9,212,1132,423
9,213,1161,447
9,214,1190,424
9,215,1220,447
9,216,1248,422
9,217,1279,444
9,218,1315,418
9,219,1352,439
9,220,1388,414
9,221,1390,461
9,222,1354,485
9,223,1317,464
9,224,1282,490
9,225,1251,469
9,226,1221,493
9,227,1191,470
9,228,1160,493
9,229,1131,470
9,230,1100,492
9,231,1099,538
9,232,1130,516
9,233,1161,540
9,234,1192,517
9,235,1223,539
9,236,1253,515
9,237,1286,536
9,238,1320,511
9,239,1356,531
9,240,1391,506
9,241,1392,553
9,242,1358,577
9,243,1322,556
9,244,1289,582
9,245,1256,561
9,246,1225,585
9,247,1192,562
9,248,1161,586
9,249,1129,562
9,250,1097,584
9,251,1095,631
9,252,1129,608
9,253,1161,632
9,254,1193,608
9,255,1227,631
9,256,1258,607
9,257,1292,628
9,258,1325,603
9,259,1360,623
9,260,1394,599
9,261,1395,645
9,262,1363,669
9,263,1328,649
9,264,1295,673
9,265,1261,653
9,266,1228,677
9,267,1195,655
9,268,1162,678
9,269,1128,655
9,270,1094,676
9,271,1093,723
9,272,1128,700
9,273,1161,725
9,274,1195,702
9,275,1231,724
9,276,1264,698
9,277,1299,720
9,278,1330,694
9,279,1365,715
9,280,1396,691
9,281,1398,736
9,282,1367,761
9,283,1333,739
9,284,1303,765
9,285,1266,744
9,286,1233,769
9,287,1197,747
9,288,1163,770
9,289,1127,747
9,290,1092,770
9,291,1091,816
9,292,1127,793
9,293,1163,817
9,294,1198,793
9,295,1234,815
9,296,1269,791
9,297,1306,811
9,298,1336,786
9,299,1369,806
