strip,pixel,x,y
6,2,1132,736
6,3,1101,715
6,4,1069,731
6,5,1039,709
6,6,1006,723
6,7,977,700
6,8,944,714
6,9,916,691
6,10,881,704
6,11,889,668
6,12,922,655
6,13,949,677
6,14,981,663
6,15,1010,686
6,16,1042,670
6,17,1070,693
6,18,1102,677
6,19,1132,698
6,20,1163,681
6,21,1163,644
6,22,1133,660
6,23,1104,640
6,24,1073,655
6,25,1045,634
6,26,1014,648
6,27,987,626
6,28,955,640
6,29,929,617
6,30,896,631
6,31,903,595
6,32,935,582
6,33,961,604
6,34,992,590
6,35,1017,612
6,36,1048,598
6,37,1076,619
6,38,1106,603
6,39,1134,623
6,40,1163,608
6,41,1163,572
6,42,1135,588
6,43,1107,568
6,44,1078,582
6,45,1052,562
6,46,1022,576
6,47,996,555
6,48,966,568
6,49,941,547
6,50,910,560
6,51,917,526
6,52,948,513
6,53,971,534
6,54,1000,521
6,55,1025,542
6,56,1054,527
6,57,1080,547
6,58,1109,533
6,59,1136,552
6,60,1163,536
6,61,1163,503
6,62,1136,518
6,63,1110,499
6,64,1083,513
6,65,1057,494
6,66,1029,507
6,67,1005,487
6,68,977,500
6,69,952,480
6,70,924,491
6,71,930,459
6,72,958,448
6,73,981,468
6,74,1009,455
6,75,1032,474
6,76,1060,461
6,77,1085,480
6,78,1112,466
6,79,1137,484
6,80,1163,469
6,81,1163,438
6,82,1138,452
6,83,1113,434
6,84,1087,446
6,85,1063,428
6,86,1037,441
6,87,1014,422
6,88,987,435
6,89,964,417
6,90,936,427
6,91,942,397
6,92,969,384
6,93,991,402
6,94,1018,391
6,95,1040,409
6,96,1067,396
6,97,1089,415
6,98,1115,401
6,99,1139,420
6,100,1164,405
6,101,1508,738
6,102,1474,721
6,103,1446,742
6,104,1412,724
6,105,1383,744
6,106,1350,725
6,107,1320,744
6,108,1287,724
6,109,1257,743
6,110,1225,723
6,111,1224,684
6,112,1255,704
6,113,1285,687
6,114,1317,706
6,115,1345,687
6,116,1378,705
6,117,1406,685
6,118,1439,703
6,119,1466,683
6,120,1500,700
6,121,1492,662
6,122,1459,645
6,123,1432,665
6,124,1400,648
6,125,1373,667
6,126,1341,649
6,127,1313,668
6,128,1281,649
6,129,1253,666
6,130,1222,647
6,131,1221,610
6,132,1251,629
6,133,1278,612
6,134,1309,630
6,135,1336,612
6,136,1367,630
6,137,1394,612
6,138,1426,628
6,139,1451,609
6,140,1483,625
6,141,1475,589
6,142,1443,573
6,143,1419,592
6,144,1388,575
6,145,1362,594
6,146,1332,576
6,147,1305,594
6,148,1275,576
6,149,1248,593
6,150,1219,575
6,151,1217,540
6,152,1246,558
6,153,1273,541
6,154,1302,559
6,155,1327,541
6,156,1357,559
6,157,1382,540
6,158,1413,557
6,159,1436,538
6,160,1467,554
6,161,1459,519
6,162,1429,504
6,163,1406,522
6,164,1376,506
6,165,1352,523
6,166,1323,506
6,167,1298,524
6,168,1270,507
6,169,1244,523
6,170,1216,505
6,171,1215,471
6,172,1242,489
6,173,1267,473
6,174,1294,490
6,175,1319,473
6,176,1347,490
6,177,1370,473
6,178,1399,488
6,179,1410,481
6,180,1451,486
6,181,1444,453
6,182,1417,439
6,183,1393,455
6,184,1365,440
6,185,1342,456
6,186,1315,440
6,187,1291,456
6,188,1264,440
6,189,1240,456
6,190,1214,439
6,191,1214,408
6,192,1238,424
6,193,1262,408
6,194,1288,424
6,195,1311,408
6,196,1338,425
6,197,1361,408
6,198,1388,424
6,199,1410,407
6,200,1438,422
6,201,1813,669
6,202,1796,694
6,203,1761,682
6,204,1742,706
6,205,1708,693
6,206,1686,717
6,207,1652,703
6,208,1628,726
6,209,1595,710
6,210,1570,734
6,211,1560,696
6,212,1584,673
6,213,1618,688
6,214,1640,666
6,215,1674,680
6,216,1694,656
6,217,1728,669
6,218,1747,646
6,219,1780,658
6,220,1798,634
6,221,1783,599
6,222,1766,622
6,223,1733,610
6,224,1714,633
6,225,1682,620
6,226,1661,643
6,227,1628,629
6,228,1606,651
6,229,1573,636
6,230,1550,658
6,231,1540,622
6,232,1563,600
6,233,1595,615
6,234,1616,593
6,235,1649,607
6,236,1668,585
6,237,1700,598
6,238,1719,576
6,239,1751,587
6,240,1767,565
6,241,1753,532
6,242,1736,553
6,243,1705,541
6,244,1687,563
6,245,1656,550
6,246,1636,572
6,247,1605,558
