strip,pixel,x,y
0,1,946,930
0,2,940,889
0,3,953,914
0,4,961,867
0,5,961,819
0,6,955,789
0,7,957,807
0,8,915,815
0,9,908,873
0,10,961,869
0,11,958,932
0,12,929,978
0,13,968,958
0,14,965,890
0,15,945,869
0,16,943,856
0,17,917,792
0,18,915,742
0,19,936,717
0,20,930,727
0,21,969,757
0,22,916,766
0,23,916,719
0,24,910,697
0,26,968,650
0,27,924,630
0,28,906,676
0,29,928,654
0,30,938,637
0,31,985,661
0,32,949,703
0,33,974,691
0,34,645,266
0,35,691,411
0,36,906,530
0,37,898,529
0,38,659,559
0,39,532,607
0,40,336,633
0,41,721,636
0,42,574,612
0,43,557,597
0,44,585,601
0,45,659,562
0,46,583,560
0,47,513,550
0,48,619,538
0,49,442,567
0,50,705,508
0,51,675,520
0,52,697,522
0,53,341,587
0,54,465,547
0,55,554,537
0,56,666,533
0,57,615,570
0,58,543,593
0,59,655,590
0,60,609,576
0,61,627,558
0,62,594,548
0,63,600,530
0,64,450,546
0,65,588,517
0,66,663,518
0,67,470,557
0,68,523,541
0,69,413,557
0,70,486,530
0,71,517,502
0,72,462,520
0,73,671,463
0,74,412,536
0,75,671,479
0,76,583,496
0,77,526,498
0,78,439,528
0,79,409,541
0,80,561,512
0,81,631,515
0,82,660,521
0,83,510,560
0,84,609,552
0,85,396,573
0,86,494,547
0,87,508,535
0,88,509,514
0,89,406,547
0,90,537,526
0,91,621,488
0,92,690,461
0,93,515,514
0,94,592,504
0,95,608,517
0,96,516,525
0,97,602,490
0,98,507,499
0,99,578,462
0,100,416,514
0,101,381,557
0,102,508,514
0,103,350,556
0,104,377,535
0,105,439,517
0,106,471,518
0,107,504,513
0,108,699,464
0,109,648,479
0,110,640,473
0,111,545,481
0,112,506,486
0,113,382,519
0,114,275,563
0,115,409,492
0,116,610,396
0,117,624,420
0,118,462,480
0,119,343,518
0,120,327,526
0,121,340,524
0,122,433,492
0,123,420,511
0,124,454,502
0,125,426,526
0,126,540,505
0,127,569,487
0,128,662,443
0,129,652,440
0,130,327,547
0,131,594,455
0,132,630,452
0,133,637,457
0,134,567,474
0,135,628,445
0,136,595,456
0,137,435,496
0,138,593,449
0,139,614,466
0,140,379,536
0,141,524,481
0,142,632,426
0,143,531,468
0,144,264,569
0,145,406,497
0,146,499,474
0,147,455,501
0,148,400,517
0,149,400,514
0,150,524,459
0,151,561,426
0,152,416,490
0,153,555,423
0,154,366,500
0,155,360,501
0,156,432,479
0,157,382,512
0,158,436,498
0,159,624,435
0,160,495,526
0,161,651,466
0,162,624,513
0,163,554,534
0,164,724,456
0,165,510,508
0,166,425,549
0,167,582,486
0,168,532,494
0,169,524,497
0,170,690,424
0,171,373,566
0,172,454,572
0,173,555,526
0,174,624,462
0,175,401,535
0,176,363,550
0,177,560,479
0,178,423,530
0,179,437,526
0,180,404,531
0,181,445,517
0,182,407,536
0,183,478,512
0,184,498,491
0,185,564,464
0,186,533,472
0,187,492,474
0,188,459,489
0,189,443,507
0,190,554,455
0,191,452,488
0,192,540,443
0,193,614,399
0,194,465,462
0,195,424,475
0,196,564,401
0,197,483,455
0,198,361,530
0,199,328,555
