strip,pixel,x,y
0,1,946,930
0,2,940,888
0,3,954,914
0,4,961,866
0,5,963,820
0,6,955,789
0,7,957,808
0,8,914,816
0,9,910,873
0,10,960,869
0,11,959,932
0,12,930,978
0,13,968,958
0,14,966,889
0,15,945,869
0,16,943,856
0,17,918,792
0,18,915,740
0,19,934,715
0,20,930,725
0,21,970,758
0,22,914,766
0,23,916,717
0,24,911,696
0,25,904,640
0,26,951,649
0,27,923,633
0,28,901,666
0,29,913,647
0,30,926,642
0,31,979,668
0,32,947,703
0,33,968,696
0,35,1000,625
0,36,1011,581
0,37,1005,537
0,38,955,540
0,39,921,587
0,40,942,627
0,41,970,631
0,42,1000,587
0,43,978,561
0,44,914,585
0,45,904,531
0,46,938,503
0,47,900,466
0,48,955,475
0,49,907,471
0,50,955,455
0,51,972,459
0,52,1016,462
0,53,1068,435
0,54,1013,410
0,55,986,441
0,56,999,473
0,57,1004,520
0,58,998,546
0,59,942,566
0,60,979,531
0,61,998,502
0,62,1009,472
0,63,1023,438
0,64,1017,394
0,65,994,415
0,66,991,448
0,67,1033,430
0,68,1011,427
0,69,1025,393
0,70,1030,376
0,71,982,350
0,72,1008,341
0,74,1032,331
0,75,1055,373
0,76,1088,348
0,77,1056,322
0,78,1042,329
0,79,1011,349
0,80,1043,379
0,81,1042,421
0,82,1020,447
0,83,986,470
0,84,953,494
0,85,963,447
0,86,999,430
0,87,1028,405
0,88,988,367
0,89,944,386
0,90,939,423
0,91,880,414
0,92,908,396
0,93,922,392
0,94,938,409
0,95,993,426
0,96,1005,393
0,97,1011,369
0,98,1005,326
0,99,1015,300
0,100,1034,267
0,101,1078,354
0,102,1066,342
0,103,1084,309
0,104,1054,279
0,105,1052,293
0,106,1052,327
0,107,1036,347
0,108,1006,377
0,109,972,386
0,110,919,388
0,111,887,359
0,112,934,323
0,113,914,288
0,114,892,285
0,115,845,283
0,116,862,277
0,117,892,308
0,118,923,275
0,119,900,236
0,120,939,217
0,121,936,232
0,122,966,255
0,123,978,286
0,124,950,308
0,125,946,345
0,126,957,379
0,127,958,362
0,128,941,346
0,129,958,330
0,130,965,287
0,131,974,312
0,132,969,333
0,133,941,355
0,134,913,354
0,135,880,352
0,136,912,337
0,137,916,289
0,138,950,310
0,139,970,348
0,140,940,327
0,141,950,321
0,142,953,296
0,143,986,286
0,144,990,249
0,145,943,243
0,146,964,278
0,147,965,300
0,148,951,289
0,149,968,274
0,150,971,267
0,151,938,251
0,152,945,237
0,153,901,258
0,154,892,221
0,155,932,190
0,156,966,218
0,157,977,237
0,158,1008,253
0,159,1026,269
0,160,1057,269
0,161,1040,295
0,162,1045,318
0,163,1014,322
0,164,987,348
0,165,973,303
0,166,1028,308
0,167,1035,300
0,168,1033,267
0,169,1048,253
0,170,1010,278
0,171,1043,249
0,172,1091,267
0,173,1059,307
0,174,1047,288
0,175,1037,248
0,176,1064,230
0,177,1088,266
0,178,1099,246
0,179,1113,242
0,180,1100,213
0,181,1071,240
0,182,1056,258
0,183,1040,283
0,184,994,269
0,185,1002,271
0,186,1008,256
0,187,987,218
0,188,934,240
0,189,951,262
0,190,913,282
0,191,918,237
0,192,919,240
0,193,897,246
0,194,854,224
0,195,861,183
0,196,900,196
0,197,930,188
0,198,975,172
0,199,998,190
