strip,pixel,x,y
20,1,420,1069
20,3,437,1023
20,4,491,1030
20,5,511,985
20,6,585,950
20,7,633,962
20,9,656,919
20,10,701,934
20,11,726,894
20,12,770,911
20,13,797,873
20,14,840,892
20,15,867,855
20,16,937,842
20,18,976,864
20,19,1006,832
20,20,1043,856
20,21,1075,826
20,22,1110,856
20,23,1142,823
20,24,1108,797
20,27,1038,801
20,28,999,777
20,29,968,810
20,30,928,786
20,31,898,821
20,32,827,838
20,35,755,855
20,36,709,839
20,37,682,881
20,38,636,866
20,39,609,907
20,40,539,940
20,41,488,930
20,43,466,976
20,44,416,970
20,45,396,1018
20,46,367,965
20,47,388,919
20,48,461,879
20,49,515,884
20,51,540,840
20,52,588,853
20,53,615,811
20,54,663,825
20,55,738,801
20,56,770,760
20,58,812,779
20,59,843,744
20,60,886,765
20,61,918,731
20,62,959,753
20,63,1031,747
20,64,1064,716
20,65,1064,715
20,66,1105,743
20,67,1136,727
20,68,1134,667
20,69,1101,692
20,70,1059,665
20,71,985,670
20,73,951,696
20,74,908,677
20,75,876,711
20,76,832,691
20,77,799,726
20,78,722,747
20,80,676,729
20,81,644,771
20,82,596,758
20,83,567,799
20,84,518,789
20,85,437,828
20,86,412,871
20,88,362,866
20,89,335,915
20,90,303,865
20,91,360,836
20,92,465,780
20,93,506,761
20,94,505,760
20,95,545,745
20,96,585,728
20,97,626,717
20,98,667,700
20,99,748,675
20,100,787,670
20,102,1206,828
20,103,1240,861
20,104,1273,837
20,105,1306,868
20,106,1373,881
20,107,1408,858
20,109,1437,894
20,110,1473,875
20,111,1502,912
20,112,1540,895
20,113,1567,935
20,114,1631,959
20,117,1694,988
20,118,1733,978
20,119,1756,1022
20,120,1794,1012
20,121,1816,1058
20,122,1873,1097
20,124,1913,1093
20,125,1929,1139
20,126,1953,1091
20,127,1934,1044
20,128,1876,1002
20,130,1835,1005
20,131,1814,963
20,132,1773,972
20,133,1751,927
20,134,1685,895
20,135,1645,905
20,137,1618,866
20,138,1579,881
20,139,1550,842
20,140,1511,860
20,141,1443,841
20,142,1415,802
20,144,1377,824
20,145,1346,792
20,146,1309,814
20,147,1275,783
20,148,1238,805
20,149,1205,724
20,150,1243,751
20,152,1277,729
20,153,1312,760
20,154,1350,737
20,155,1383,770
20,156,1453,786
20,157,1493,768
20,159,1522,803
20,160,1562,789
20,161,1591,828
20,162,1631,814
20,163,1659,854
20,164,1727,884
20,165,1768,873
20,167,1792,919
20,168,1834,912
20,169,1856,956
20,170,1898,952
20,171,1918,998
20,172,1975,1042
20,173,2000,992
20,175,1959,941
20,176,1905,896
20,177,1854,864
20,178,1810,870
20,179,1742,836
20,180,1715,791
20,181,1716,794
20,182,1674,803
20,183,1645,764
20,184,1603,776
20,185,1531,751
20,187,1500,716
20,188,1461,733
20,189,1428,699
20,190,1389,717
20,191,1355,685
20,192,1282,676
20,194,1245,698
20,195,1206,675
20,196,1246,647
20,197,1298,647
20,198,1358,657
20,199,1468,682
20,200,1524,696
20,202,1591,500
20,203,1568,525
20,204,1532,502
20,205,1507,526
20,206,1474,501
20,207,1415,497
20,209,1387,515
20,210,1356,490
20,211,1324,510
20,212,1296,481
20,213,1238,470
20,214,1204,482
20,216,1176,451
20,217,1167,498
20,218,1153,543
20,219,1192,528
20,220,1229,512
20,221,1291,526
20,223,1321,555
20,224,1353,536
20,225,1385,564
20,226,1417,544
20,227,1450,570
20,228,1515,572
20,230,1542,547
20,231,1578,572
20,232,1603,546
20,233,1615,595
20,234,1630,643
20,235,1551,597
20,237,1560,646
20,238,1523,622
20,239,1485,597
20,240,1490,647
20,241,1454,618
20,242,1385,612
20,244,1352,583
20,245,1316,603
20,246,1285,573
20,247,1247,591
20,248,1219,559
20,249,1222,529
20,250,1089,522
20,252,1106,478
20,253,1123,433
20,254,1086,446
20,255,1066,412
20,256,1029,424
20,257,975,396
20,259,961,361
20,260,921,369
20,261,909,334
20,262,870,338
20,263,862,304
20,264,822,306
20,265,778,273
20,267,773,239
20,268,735,237
20,269,734,204
20,270,696,234
20,271,782,306
20,272,831,340
20,273,830,339
20,274,839,375
20,275,881,372
20,276,893,408
20,277,935,402
20,278,990,430
20,280,1008,463
20,281,1047,456
20,282,1068,489
20,283,1027,499
20,284,1023,534
20,285,1133,601
20,286,1176,526
20,288,1100,502
20,289,1158,416
20,290,1055,433
20,291,1053,356
20,292,1004,343
20,293,949,301
20,295,986,339
20,296,1040,355
20,297,1068,347
20,298,1032,417
20,299,1008,351
